eng		English
dzo		Dzongkha
cgk		Chocangacakha
tsj		Tshangla (Sharchop)
kjz		Bumthangkha
xkf		Khengkha
xkz		Kurtop
neh		Nyenkha (Mangdhikha)
dzl		Dzalakha
dka		Dakpakha
tgf		Chalikha
ole		Monpakha (Olekha)
sgt		Brokpa
bro		Brokkat
lkh		Lakha
bod		B'okha (Tibetan)
npi		Nepali (Lhotshamkha)
lhp		Lhokpu (Lhobikha)
goe		Gongduk
lep		Lepcha
adp		Adap
gvr		Gurung (Khas Kura)
